iteration,timestamp,p,true_positives,false_negatives,false_positives,true_negatives,avg_degree,max_degree
0,13800990,0.97999936,0,0,0,0,0.0,0
1,20676590,0.45999986,6,0,7,387,6.83,11
2,5879444,0.7499996,0,0,0,0,0.0,0
3,18463400,0.7299996,0,5,14,381,10.975,16
4,13185414,0.4199999,5,0,11,384,6.245,11
5,5950311,0.7099996,0,7,10,383,10.45,15
6,18115081,0.7299996,5,1,9,385,11.0,17
7,17918190,0.9699994,0,4,13,383,15.82,20
8,3296088,0.5399998,5,0,12,383,8.11,14
9,18683834,0.5999997,4,2,11,383,9.015,15
10,13125586,0.35999995,5,0,11,384,5.255,9
11,14534995,0.99999934,0,0,0,0,0.0,0
12,20491915,0.7099996,3,1,15,381,10.56,16
13,19196411,0.8399995,4,4,16,376,13.1,19
14,21486458,0.35999995,0,6,15,379,4.915,9
15,13991895,0.4199999,5,0,15,380,6.18,13
16,16300744,0.9499994,5,0,16,379,15.35,20
17,19061603,0.6499997,0,4,11,385,9.89,15
18,19622261,0.31,0,8,10,382,4.235,8
19,9644712,0.69999963,4,0,8,388,10.42,16
20,17506510,0.6399997,6,0,9,385,9.655,14
21,21538107,0.47999984,5,0,10,385,7.235,13
22,19583596,0.86999947,0,7,9,384,13.67,19
23,491511,0.7499996,6,0,14,380,11.435,16
24,1294823,0.8099995,8,0,9,383,12.47,17
25,5617037,0.4299999,7,0,16,377,6.36,11
26,7032312,0.4299999,5,0,15,380,6.285,13
27,1439396,0.87999946,0,6,10,384,14.095,20
28,20556534,0.9199994,0,0,0,0,0.0,0
29,18251664,0.32,5,0,14,381,4.255,9
30,9607680,0.67999965,0,5,10,385,10.205,16
31,6831377,0.8599995,4,0,6,390,13.56,19
32,15719968,0.5199998,0,4,4,392,7.825,13
33,19605162,0.89999944,3,0,21,376,14.3,20
34,20288018,0.32,6,0,2,392,4.445,9
35,5284252,0.8399995,3,1,28,368,13.145,18
36,21453507,0.31,7,0,6,387,4.42,9
37,17661194,0.86999947,0,0,0,0,0.0,0
38,1811273,0.55999976,0,4,11,385,8.47,14
39,4170087,0.56999975,6,0,20,374,8.7,14
40,17414507,0.56999975,0,4,12,384,8.46,14
41,21049263,0.38999993,0,5,14,381,5.575,10
42,13298611,0.5499998,6,0,2,392,8.15,13
43,18355419,0.5299998,7,0,14,379,7.92,13
44,21195058,0.67999965,0,7,15,378,10.14,15
45,17408186,0.55999976,3,0,13,384,8.425,14
46,13770859,0.8599995,7,0,16,377,13.545,18
47,14333011,0.87999946,0,0,0,0,0.0,0
48,7379409,0.68999964,6,0,8,386,10.165,15
49,17062676,0.9499994,0,0,0,0,0.0,0
50,18899073,0.32,8,0,18,374,4.15,8
51,6430864,0.5499998,6,0,9,385,8.395,13
52,19676680,0.4099999,6,0,7,387,6.045,10
53,21488607,0.37999994,0,6,12,382,5.365,10
54,17916253,0.32999998,6,2,13,379,4.33,9
55,20470800,0.66999966,4,0,17,379,9.88,16
56,21245898,0.7499996,5,0,9,386,11.355,17
57,8343963,0.31,4,0,22,374,4.235,9
58,13455273,0.67999965,0,3,16,381,10.05,15
59,19525603,0.87999946,0,0,0,0,0.0,0
60,19934209,0.3,5,0,12,383,4.095,9
61,1529010,0.3,0,7,11,382,3.93,10
62,6192492,0.32999998,6,0,7,387,4.535,9
