iteration,timestamp,p,true_positives,false_negatives,false_positives,true_negatives,avg_degree,max_degree
122,7158735,0.88999945,4,1,14,381,14.68,20
123,1776255,0.4299999,5,0,10,385,6.445,12
124,4841926,0.9699994,0,0,0,0,0.0,0
125,2775335,0.7399996,0,0,0,0,0.0,0
126,9177280,0.43999988,5,0,12,383,6.515,11
127,9498700,0.47999984,6,0,5,389,7.255,13
128,9209977,0.5099998,0,5,12,383,7.655,12
129,440667,0.48999983,0,4,16,380,7.46,12
130,3768440,0.8099995,0,0,0,0,0.0,0
131,5096357,0.67999965,5,0,10,385,10.275,15
132,6394921,0.6299997,5,0,8,387,9.36,14
133,1021328,0.86999947,4,0,17,379,14.065,19
134,2611524,0.32999998,5,0,7,388,4.685,9
135,5669126,0.45999986,0,5,8,387,7.13,12
136,5635641,0.38999993,0,6,13,381,5.485,11
137,7770483,0.8399995,5,0,21,374,13.405,20
138,5480896,0.76999956,7,0,24,369,11.585,17
139,8506280,0.9699994,0,6,12,382,16.615,20
140,5499498,0.8099995,4,0,12,384,12.62,18
141,7150668,0.87999946,4,1,24,371,14.36,20
142,8880680,0.5299998,0,0,0,0,0.0,0
143,220719,0.8599995,0,0,0,0,0.0,0
144,2048207,0.36999995,6,0,8,386,5.335,10
145,7479022,0.9699994,0,0,0,0,0.0,0
146,1307996,0.78999954,3,3,18,376,12.04,17
147,3874845,0.32,5,0,7,388,4.26,10
148,2833344,0.77999955,0,5,13,382,11.675,17
149,7954553,0.58999974,5,0,6,389,8.895,14
150,1185645,0.5399998,7,0,4,389,8.29,14
151,1399170,0.34999996,0,6,11,383,4.965,10
152,3756208,0.76999956,0,0,0,0,0.0,0
153,4059067,0.67999965,0,7,12,381,10.06,16
154,9390696,0.98999935,0,0,0,0,0.0,0
155,2401124,0.49999982,0,4,14,382,7.605,13
156,6892141,0.4299999,6,0,7,387,6.465,13
157,8715154,0.79999954,0,4,11,385,12.155,18
158,3806226,0.9299994,0,0,0,0,0.0,0
159,805097,0.49999982,7,0,8,385,7.495,12
160,5105025,0.68999964,0,5,9,386,10.215,15
161,696028,0.87999946,6,0,19,375,14.48,19
162,7181000,0.90999943,3,2,18,377,15.335,20
163,6790205,0.7599996,0,6,9,385,11.215,16
164,6709691,0.6199997,7,0,17,376,9.52,14
165,5694747,0.5199998,7,0,2,391,7.835,13
166,7053141,0.7399996,4,0,10,386,10.99,16
167,4301553,0.5199998,5,0,5,390,8.08,12
168,1952848,0.88999945,0,0,0,0,0.0,0
169,8477899,0.90999943,5,0,18,377,15.34,20
170,3853472,0.87999946,0,4,11,385,14.46,19
171,383230,0.99999934,5,0,15,380,17.125,20
172,2514788,0.7199996,0,7,11,382,10.52,17
173,4031736,0.7399996,0,0,0,0,0.0,0
174,5700123,0.5399998,0,6,16,378,8.095,14
175,505963,0.5999997,6,0,8,386,8.95,14
176,3263930,0.4099999,8,0,3,389,6.14,11
177,6824677,0.8299995,0,4,12,384,12.965,18
178,3268285,0.4199999,0,7,19,374,6.155,11
179,8336773,0.78999954,0,0,0,0,0.0,0
180,7073911,0.76999956,5,0,15,380,11.725,17
181,260239,0.8099995,4,0,23,373,12.565,18
182,2097002,0.46999985,0,7,15,378,7.2,12
183,128330,0.67999965,0,0,0,0,0.0,0
184,9473564,0.4299999,5,0,4,391,6.41,12
185,4120742,0.8099995,0,5,6,389,12.565,19
186,6762547,0.8199995,0,0,0,0,0.0,0
187,7110811,0.9199994,0,0,0,0,0.0,0
188,5417629,0.65999967,0,4,12,384,9.745,15
189,895480,0.67999965,5,0,20,375,10.09,15
190,1120239,0.39999992,0,4,16,380,5.85,10
191,3425931,0.7299996,6,0,14,380,10.84,16
192,7723360,0.86999947,0,0,0,0,0.0,0
193,3902893,0.37999994,0,5,20,375,5.48,10
194,5649271,0.4199999,8,0,0,392,6.255,12
195,8995087,0.7599996,0,0,0,0,0.0,0
196,3953711,0.48999983,4,0,12,384,7.46,13
197,6656067,0.5199998,3,0,18,379,7.93,14
198,7101104,0.79999954,0,5,9,386,12.295,18
199,7700139,0.7099996,0,5,12,383,10.435,15
200,9493286,0.45999986,6,0,9,385,7.075,12
201,1402123,0.9499994,0,5,17,378,16.23,20
202,5181367,0.79999954,6,0,13,381,12.23,17
203,8871666,0.43999988,7,0,13,380,6.375,12
204,4029778,0.6399997,0,5,9,386,9.495,15
205,163965,0.65999967,0,5,11,384,9.79,14
206,2103556,0.5099998,2,3,15,380,7.76,14
207,7654182,0.58999974,0,5,14,381,9.075,15
208,8507580,0.39999992,6,0,10,384,5.91,10
209,8886610,0.46999985,5,0,13,382,6.91,12
210,1432792,0.43999988,5,0,11,384,6.41,11
211,3023169,0.55999976,6,0,12,382,8.425,14
212,9158143,0.38999993,0,7,9,384,5.78,10
213,9532506,0.5499998,0,7,6,387,8.39,12
214,5804450,0.7499996,0,5,14,381,11.025,16
215,5940599,0.32999998,0,6,13,381,4.38,9
216,3022471,0.5499998,5,0,8,387,8.49,14
217,265077,0.9599994,0,0,0,0,0.0,0
218,2064728,0.39999992,0,5,9,386,5.865,11
219,4683936,0.57999974,0,5,16,379,8.68,13
220,371136,0.36999995,6,0,6,388,5.43,11
221,2418991,0.6099997,0,0,0,0,0.0,0
222,631708,0.88999945,0,0,0,0,0.0,0
223,2474385,0.6499997,6,0,12,382,9.83,16
224,6030668,0.5199998,0,5,30,365,7.915,13
225,1372294,0.87999946,2,3,11,384,14.495,19
226,3607804,0.39999992,0,8,14,378,5.895,11
227,7294732,0.5399998,0,5,14,381,8.185,13
228,7343062,0.6299997,5,0,10,385,9.4,15
229,4988948,0.46999985,5,0,8,387,7.16,11
230,1380427,0.88999945,0,6,13,381,14.775,19
231,2894191,0.31,4,1,4,391,4.325,10
232,8189081,0.38999993,0,7,5,388,5.845,11
233,5837085,0.78999954,4,0,16,380,12.125,17
234,7285737,0.5199998,0,5,19,376,7.935,14
235,4752689,0.77999955,0,0,0,0,0.0,0
236,8740395,0.8399995,9,0,4,387,13.285,19
237,2191374,0.7499996,0,0,0,0,0.0,0
238,4336295,0.57999974,0,5,12,383,8.775,14
239,4007946,0.58999974,4,0,13,383,8.905,13
240,5934879,0.9399994,5,0,13,382,16.02,20
241,4401558,0.7199996,0,4,19,377,10.505,15
242,743901,0.98999935,2,3,11,384,16.99,20
243,6970740,0.58999974,0,4,18,378,8.99,13
244,9490790,0.44999987,4,0,11,385,6.61,12
245,334705,0.32,3,0,5,392,4.265,8
246,6169270,0.7499996,2,3,20,375,11.155,17
247,7540523,0.9199994,0,6,20,374,15.67,20
248,8026446,0.7199996,4,0,13,383,10.49,15
249,4324153,0.56999975,7,0,11,382,8.615,13
250,5186085,0.9499994,0,0,0,0,0.0,0
251,4246619,0.39999992,0,6,20,374,5.775,11
252,4992348,0.47999984,0,5,13,382,7.225,12
253,3679730,0.55999976,7,0,8,385,8.565,14
254,2102489,0.49999982,0,6,8,386,7.53,12
255,1321834,0.9199994,0,0,0,0,0.0,0
256,1507428,0.5999997,0,6,9,385,9.06,14
257,9071603,0.9599994,0,0,0,0,0.0,0
258,2180184,0.6399997,6,0,8,386,9.55,14
259,2356627,0.38999993,8,0,8,384,5.545,10
260,2910983,0.32999998,0,5,13,382,4.575,10
261,3814781,0.9599994,0,0,0,0,0.0,0
262,3733085,0.65999967,0,8,13,379,9.67,16
263,7686953,0.66999966,0,4,10,386,9.955,15
264,9593308,0.68999964,5,0,11,384,10.225,15
265,860388,0.6099997,4,0,14,382,9.095,17
266,2551782,0.8099995,5,0,16,379,12.48,17
267,398933,0.4099999,0,5,14,381,6.17,11
268,8111267,0.8499995,0,6,9,385,13.595,19
269,5170390,0.89999944,0,0,0,0,0.0,0
270,2657058,0.4299999,6,0,14,380,6.555,11
271,7720252,0.7499996,4,0,14,382,11.12,17
272,489200,0.56999975,3,2,16,379,8.625,13
273,5332647,0.49999982,6,0,7,387,7.445,11
274,8828235,0.9699994,6,0,11,383,16.63,20
275,4066520,0.68999964,0,6,10,384,10.25,17
276,2381674,0.44999987,6,0,5,389,6.74,12
277,8319006,0.65999967,5,0,13,382,9.81,16
278,1341193,0.97999936,0,0,0,0,0.0,0
279,2296392,0.8199995,0,7,9,384,12.745,18
280,4493999,0.8499995,0,5,20,375,13.64,19
