iteration,timestamp,p,true_positives,false_negatives,false_positives,true_negatives,avg_degree,max_degree
122,1588009,0.49999982,0,7,15,378,7.385,12
123,11082606,0.9499994,0,5,12,383,14.74,22
124,5996658,0.6499997,0,7,17,376,9.675,15
125,1196086,0.38999993,6,0,2,392,5.49,10
126,12003818,0.44999987,6,0,4,390,6.515,11
127,2368437,0.67999965,0,6,13,381,10.255,15
128,1711333,0.7099996,0,8,10,382,10.78,17
129,1721482,0.7299996,6,0,16,378,11.13,17
130,11914835,0.35999995,7,0,14,379,5.205,10
131,4170517,0.44999987,0,6,14,380,6.685,11
132,1968182,0.5199998,1,2,21,376,7.54,13
133,3002606,0.5099998,4,0,11,385,7.415,12
134,2523833,0.89999944,0,6,11,383,13.8,20
135,8873903,0.5499998,5,0,16,379,8.2,13
136,7897229,0.32,0,6,11,383,4.395,9
137,19117926,0.90999943,3,0,22,375,14.085,19
138,21209692,0.77999955,6,0,17,377,11.72,18
139,3162191,0.78999954,0,7,10,383,12.12,18
140,17118984,0.7399996,0,8,6,386,11.175,16
141,562955,0.58999974,0,6,11,383,8.8,15
142,2166741,0.99999934,0,0,0,0,0.0,0
143,4997452,0.44999987,0,5,8,387,6.625,12
144,5590851,0.88999945,4,0,13,383,13.57,19
145,2282071,0.5099998,0,7,9,384,7.42,12
146,3384378,0.55999976,4,0,14,382,8.48,18
147,11720420,0.8199995,4,0,16,380,12.55,19
148,12456773,0.8199995,0,4,20,376,12.365,18
149,18294501,0.36999995,0,5,9,386,5.29,10
150,51108,0.38999993,7,0,10,383,5.55,11
151,1932548,0.4299999,4,0,11,385,6.23,11
152,9667266,0.5499998,8,0,8,384,8.11,12
153,12931281,0.56999975,0,8,7,385,8.425,13
154,1963026,0.49999982,0,4,11,385,7.47,12
155,20296364,0.7299996,5,0,15,380,10.845,16
156,17749041,0.55999976,6,0,14,380,8.325,13
157,2881947,0.87999946,6,0,16,378,13.405,18
158,3641276,0.34999996,4,0,6,390,4.925,10
159,7519838,0.69999963,0,0,0,0,0.0,0
160,9883357,0.78999954,0,0,0,0,0.0,0
161,3796426,0.66999966,3,2,8,387,10.095,16
162,19070367,0.87999946,3,1,17,379,13.555,19
163,1051788,0.7399996,0,6,13,381,11.115,16
164,9990266,0.76999956,0,6,10,384,11.655,17
165,4021478,0.31,6,0,5,389,4.38,8
166,3152539,0.77999955,4,0,14,382,12.01,18
167,1349319,0.7099996,6,0,13,381,10.89,16
168,17954132,0.7399996,7,0,8,385,11.075,16
169,8375666,0.7499996,4,0,15,381,11.38,16
170,1517776,0.97999936,0,8,12,380,15.18,20
171,1698951,0.78999954,0,0,0,0,0.0,0
172,1981171,0.5399998,8,0,15,377,8.07,13
173,19172876,0.9699994,5,0,14,381,14.77,20
174,20921928,0.6099997,0,0,0,0,0.0,0
175,2261557,0.45999986,6,0,9,385,6.7,12
176,9055209,0.69999963,0,5,10,385,10.555,16
177,12063683,0.5099998,11,0,2,387,7.5,13
178,20416936,0.78999954,4,0,14,382,12.125,17
179,6711468,0.6399997,0,5,15,380,9.585,14
180,11436900,0.67999965,0,0,0,0,0.0,0
181,20170874,0.6299997,0,8,15,377,9.35,14
182,3261609,0.9299994,0,6,10,384,14.405,19
183,17783569,0.58999974,6,0,5,389,8.74,15
184,1413683,0.9199994,0,0,0,0,0.0,0
185,20641190,0.89999944,4,2,12,382,13.86,19
186,11442361,0.6099997,8,0,3,389,9.175,15
187,3053574,0.6099997,5,0,7,388,9.305,13
188,4109448,0.37999994,5,0,12,383,5.26,10
189,2113221,0.86999947,0,0,0,0,0.0,0
190,11281850,0.47999984,5,0,7,388,7.09,13
191,7235278,0.39999992,7,0,9,384,5.79,12
192,12758724,0.39999992,5,0,3,392,5.82,11
193,2057037,0.7499996,0,0,0,0,0.0,0
194,19262541,0.45999986,0,5,10,385,6.595,12
195,2177201,0.8599995,0,6,18,376,13.225,18
196,409644,0.33999997,5,0,10,385,4.67,9
197,20320526,0.7499996,5,0,14,381,11.42,17
198,3811512,0.76999956,0,0,0,0,0.0,0
199,20757469,0.35999995,0,5,22,373,5.14,10
200,19487311,0.65999967,4,0,10,386,9.935,15
201,20860083,0.46999985,6,0,18,376,7.105,12
202,4334344,0.5999997,0,7,20,373,9.135,14
203,3094219,0.68999964,3,2,16,379,10.375,16
204,5944813,0.6199997,4,0,7,389,9.5,15
205,21809881,0.67999965,7,0,10,383,10.28,16
206,5258185,0.67999965,3,2,14,381,10.24,15
207,6305846,0.8599995,0,6,15,379,13.4,19
208,1758011,0.79999954,0,7,12,381,12.16,18
209,6804863,0.7099996,0,3,12,385,10.775,16
210,1152969,0.3,0,5,19,376,4.03,8
211,12748763,0.99999934,4,2,15,379,15.365,21
212,12007993,0.45999986,6,0,6,388,6.665,12
213,12658790,0.32,6,0,3,391,4.475,10
214,7938719,0.97999936,4,1,11,384,15.21,20
215,4201888,0.47999984,0,6,23,371,6.95,13
216,3725531,0.5299998,6,0,8,386,7.96,13
217,19131026,0.32999998,6,1,11,382,4.585,9
218,914736,0.5099998,6,0,25,369,7.525,14
219,13124028,0.8099995,0,0,0,0,0.0,0
220,18022965,0.88999945,0,0,0,0,0.0,0
221,20596354,0.87999946,7,0,11,382,13.44,19
222,12304887,0.7099996,0,7,21,372,10.71,16
223,9533537,0.4199999,4,0,10,386,5.92,11
224,228432,0.7199996,3,3,13,381,10.925,16
225,2114771,0.87999946,0,0,0,0,0.0,0
226,1115319,0.9499994,0,0,0,0,0.0,0
227,6385808,0.9399994,0,5,10,385,14.61,20
228,8079124,0.5099998,0,3,17,380,7.665,13
229,19386485,0.56999975,7,0,17,376,8.845,14
230,613394,0.7599996,0,0,0,0,0.0,0
231,13472660,0.3,0,8,13,379,4.1,9
232,1900133,0.35999995,8,0,8,384,5.07,11
233,2381958,0.69999963,4,0,11,385,10.6,15
234,5629119,0.9199994,0,6,9,385,14.3,19
235,3650030,0.36999995,1,6,8,385,5.315,10
236,691421,0.77999955,4,0,19,377,12.015,17
237,19313487,0.5199998,0,4,19,377,7.74,13
238,2497170,0.97999936,0,0,0,0,0.0,0
239,1638063,0.5999997,8,0,6,386,8.91,13
240,20675693,0.9199994,5,1,18,376,14.225,20
241,5076070,0.5299998,7,0,18,375,7.85,14
242,18261292,0.9599994,6,0,15,379,14.805,20
243,2165213,0.98999935,0,0,0,0,0.0,0
244,5539297,0.9599994,0,0,0,0,0.0,0
245,3483707,0.7399996,5,0,16,379,11.18,17
246,13772629,0.5499998,7,0,4,389,8.295,14
247,18170740,0.87999946,4,0,16,380,13.56,19
248,54850,0.39999992,4,2,1,393,5.75,10
249,1265126,0.5499998,0,3,19,378,8.16,13
250,1188067,0.36999995,6,1,17,376,5.22,10
251,11894099,0.34999996,9,0,9,382,4.975,10
252,974713,0.6299997,4,0,11,385,9.385,15
253,19575041,0.7199996,0,8,11,381,10.75,16
254,19662759,0.79999954,0,3,13,384,12.245,17
255,7360873,0.48999983,5,0,7,388,7.145,12
256,12280107,0.67999965,7,0,14,379,10.225,16
257,1307018,0.6399997,5,0,15,380,9.795,15
258,8303340,0.69999963,0,4,13,383,10.615,17
259,20363284,0.76999956,5,0,15,380,11.66,17
260,17318194,0.88999945,6,0,9,385,13.605,18
261,3630266,0.32999998,0,7,13,380,4.58,9
262,7770289,0.8399995,0,5,12,383,12.755,19
263,21163873,0.8599995,0,0,0,0,0.0,0
264,11675191,0.87999946,0,0,0,0,0.0,0
