iteration,timestamp,p,true_positives,false_negatives,false_positives,true_negatives,avg_degree,max_degree
0,386786,0.8499995,5,0,14,381,13.0,19
1,207094,0.6199997,8,0,8,384,9.145,15
2,452221,0.9699994,5,0,20,375,14.65,20
3,150539,0.5499998,0,6,19,375,8.095,14
4,107556,0.48999983,7,0,7,386,7.31,14
5,69802,0.44999987,6,0,11,383,6.46,12
6,545320,0.55999976,0,4,10,386,8.4,13
7,377601,0.9599994,0,0,0,0,0.0,0
8,475025,0.38999993,5,0,14,381,5.37,10
9,110813,0.49999982,0,6,17,377,7.495,12
10,467136,0.99999934,0,5,20,375,15.35,22
11,362912,0.79999954,4,3,10,383,12.27,18
12,313337,0.7499996,0,7,14,379,11.235,17
13,398726,0.87999946,0,7,12,381,13.51,20
14,376064,0.8299995,6,0,11,383,12.715,19
15,382382,0.97999936,0,0,0,0,0.0,0
16,169571,0.5999997,5,0,7,388,8.91,16
17,380816,0.8399995,0,5,14,381,12.695,19
18,366032,0.9199994,0,0,0,0,0.0,0
19,498625,0.43999988,6,0,12,382,6.45,13
20,367562,0.9299994,0,0,0,0,0.0,0
21,101658,0.45999986,0,8,10,382,6.675,12
22,462736,0.34999996,8,0,8,384,4.97,10
23,63314,0.39999992,0,4,21,375,5.755,12
24,519964,0.48999983,4,0,16,380,7.15,12
25,210173,0.6299997,6,0,6,388,9.575,15
26,68180,0.43999988,0,6,11,383,6.24,12
27,105678,0.47999984,0,4,12,384,7.1,12
28,364490,0.90999943,0,0,0,0,0.0,0
29,468210,0.35999995,6,0,22,372,5.22,11
30,534931,0.5199998,7,0,8,385,7.81,13
31,148736,0.5399998,0,6,11,383,8.04,14
32,292854,0.8099995,0,0,0,0,0.0,0
33,329992,0.86999947,0,0,0,0,0.0,0
34,513013,0.47999984,8,0,12,380,6.98,12
35,61694,0.38999993,8,0,14,378,5.44,10
36,302079,0.7399996,0,5,14,381,11.38,17
37,30289,0.36999995,0,7,9,384,5.275,10
38,116194,0.5299998,0,6,16,378,7.795,13
39,326367,0.76999956,7,0,10,383,11.63,18
40,214469,0.6399997,0,5,6,389,9.61,15
41,470563,0.36999995,0,7,16,377,5.275,12
42,549621,0.56999975,0,6,7,387,8.525,13
43,159473,0.56999975,5,0,22,373,8.475,14
44,367124,0.8199995,0,6,7,387,12.315,18
45,28404,0.32,4,0,16,380,4.615,8
46,25118,0.31,5,0,11,384,4.325,11
47,112825,0.5199998,5,0,7,388,7.71,13
48,237497,0.68999964,5,0,7,388,10.39,16
49,67494,0.4299999,5,0,14,381,6.235,10
50,422331,0.3,6,0,8,386,4.095,9
51,532357,0.5099998,6,0,8,386,7.47,12
52,319527,0.7599996,0,4,9,387,11.525,17
53,445716,0.32999998,0,6,8,386,4.62,10
54,63620,0.4099999,3,4,15,378,5.655,11
55,29959,0.35999995,0,6,18,376,5.24,11
56,60392,0.37999994,6,0,11,383,5.49,10
57,425381,0.89999944,0,5,10,385,13.505,21
58,330732,0.77999955,2,1,20,377,11.965,17
59,479986,0.39999992,8,0,13,379,5.71,10
60,233590,0.66999966,5,0,13,382,10.185,17
61,502044,0.44999987,0,7,20,373,6.61,11
62,541815,0.5499998,4,1,16,379,8.045,14
63,26414,0.32999998,0,7,15,378,4.475,9
64,472082,0.37999994,0,7,22,371,5.445,11
65,28458,0.34999996,6,0,6,388,4.895,11
66,445019,0.32,7,0,17,376,4.62,10
67,552129,0.57999974,0,5,13,382,8.73,14
68,283636,0.7099996,0,6,11,383,10.765,16
69,155057,0.55999976,0,5,8,387,8.14,13
70,328208,0.8599995,0,0,0,0,0.0,0
71,524344,0.49999982,5,0,7,388,7.34,12
72,242321,0.69999963,8,0,10,382,10.6,16
73,286743,0.7199996,0,5,9,386,10.89,17
74,171782,0.67999965,0,0,0,0,0.0,0
75,459744,0.98999935,4,3,19,374,15.21,21
76,538532,0.5399998,0,4,9,387,7.87,13
77,508009,0.46999985,3,4,22,371,6.975,13
78,164745,0.57999974,0,8,8,384,8.51,14
79,113370,0.5099998,9,0,7,384,7.62,13
80,29479,0.33999997,8,0,8,384,4.655,9
81,228960,0.65999967,3,2,19,376,10.05,16
82,537729,0.5299998,2,5,14,379,7.745,13
83,449595,0.33999997,4,1,12,383,4.88,11
84,486896,0.4099999,0,6,19,375,5.86,11
85,28256,0.3,0,5,18,377,4.19,9
86,442490,0.9499994,0,7,15,378,14.515,20
87,497452,0.4299999,5,0,18,377,6.37,12
88,290307,0.7299996,3,0,17,380,10.9,17
89,168773,0.58999974,3,4,14,379,8.85,15
90,103460,0.46999985,7,0,12,381,6.935,13
91,400823,0.88999945,0,6,19,375,13.65,19
92,422750,0.31,3,4,10,383,4.34,10
93,503027,0.45999986,6,0,11,383,6.745,13
94,220387,0.6499997,0,6,13,381,9.79,18
95,66020,0.4199999,0,6,14,380,6.025,10
96,173321,0.6099997,0,4,14,382,9.195,15
97,490842,0.4199999,4,0,22,374,6.15,11
98,358879,0.78999954,6,0,10,384,12.095,17
99,438212,0.9399994,5,0,19,376,14.475,21
