iteration,timestamp,p,true_positives,false_negatives,false_positives,true_negatives,avg_degree,max_degree
0,3071220,0.98999935,0,0,0,0,0.0,0
1,3561064,0.5499998,0,5,14,381,8.245,14
2,4500225,0.4099999,0,8,9,383,5.84,12
3,4663046,0.7299996,0,7,10,383,10.975,17
4,10774914,0.6099997,0,6,14,380,9.13,13
5,2874545,0.57999974,5,0,8,387,8.63,14
6,8582439,0.6299997,0,6,7,387,9.57,15
7,3126717,0.9599994,2,0,30,368,14.425,21
8,6607714,0.47999984,7,0,2,391,7.075,13
9,10340196,0.5099998,5,0,7,388,7.67,15
10,6580652,0.43999988,5,0,21,374,6.275,12
11,8361972,0.8099995,0,8,14,378,12.525,19
12,935281,0.5499998,0,4,12,384,8.235,14
13,667532,0.7299996,6,0,10,384,11.325,18
14,885329,0.4299999,8,0,9,383,6.24,12
15,7244423,0.8099995,0,5,6,389,12.505,18
16,1393336,0.39999992,5,0,14,381,5.965,11
17,8484665,0.43999988,5,1,13,381,6.365,13
18,2806252,0.4299999,0,6,14,380,6.325,12
19,5583492,0.7099996,0,0,0,0,0.0,0
20,5622385,0.68999964,4,0,18,378,10.43,17
21,2638383,0.78999954,6,0,14,380,11.985,19
22,9202801,0.4199999,5,0,15,380,5.95,11
23,5885238,0.5999997,7,0,8,385,9.01,15
24,10506687,0.76999956,7,0,11,382,11.815,17
25,4345083,0.7599996,8,0,6,386,11.5,18
26,9242877,0.5099998,4,0,15,381,7.575,13
27,3174137,0.47999984,0,5,7,388,6.84,12
28,5136012,0.37999994,0,9,17,374,5.39,11
29,8817527,0.4199999,7,0,13,380,6.12,14
30,3844924,0.4199999,8,0,3,389,6.04,13
31,4788594,0.9499994,3,3,17,377,14.595,20
32,2978801,0.7499996,4,0,19,377,11.35,17
33,6097604,0.3,6,0,10,384,4.215,9
34,3313386,0.7299996,4,0,20,376,10.945,17
35,54147,0.37999994,7,0,7,386,5.375,11
36,3189980,0.5099998,3,0,18,379,7.62,12
37,9075981,0.9499994,0,0,0,0,0.0,0
38,1794345,0.7599996,5,0,14,381,11.545,16
39,3723693,0.8499995,5,0,21,374,12.895,20
40,9084199,0.8599995,0,5,13,382,13.085,18
41,10285018,0.98999935,0,6,14,380,15.2,21
42,6915165,0.8599995,0,6,10,384,13.345,19
